Coverage of social protection and labor programs (% of population),"Literacy rate, adult female (% of females ages 15 and above)",Electricity production from oil sources (% of total),"Completeness of birth registration, male (%)",Domestic credit provided by financial sector (% of GDP),Fuel exports (% of merchandise exports),Urban population,Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),"Adjusted net savings, excluding particulate emission damage (current US$)",Time to obtain an electrical connection (days),"Child employment in agriculture, male (% of male economically active children ages 7-14)","Population ages 65-69, female (% of female population)",Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)","Secondary education, pupils (% female)","Tariff rate, most favored nation, weighted mean, manufactured products (%)",Children out of school (% of primary school age),"International tourism, expenditures for passenger transport items (current US$)","Human capital index (HCI), male, lower bound (scale 0-1)",Social contributions (current LCU)
,,2.605145084,100.0,,6.315477161,11303156,15.42,57193315258.375,,,3.348323156,,,47.555698750000005,5.066296296296297,3.938760042,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.387817119,100.0,,17.32911323,15139633,15.42,24347525523.0,,,3.953842771,,,48.62191,5.066296296296297,2.88470006,4249384615.3846154,0.7498099490000001,727000000.0
,,1.450250912,100.0,,29.50697669,18451571,15.89,82599641789.0,,,4.009488119,,,47.555698750000005,5.07,0.3046,3942000000.0,0.7498099490000001,719444444.4444444
,,2.928503615,100.0,,3.090529041,9034955,15.42,57193315258.375,,,3.464307213,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,6.110053705,100.0,,13.61313021,12077392,15.42,57193315258.375,,,3.625974132,,,47.555698750000005,5.066296296296297,0.187169999,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.669457324,100.0,,32.04018541,18049707,15.42,59293179729.0,,,3.914216449,,,47.555698750000005,5.11,0.297419995,5940000000.0,0.7498099490000001,719444444.4444444
,,4.372395958,100.0,,4.643527251,10048170,15.42,57193315258.375,,,3.304256782,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,3.7914165,100.0,,3.473815246,9709943,15.42,57193315258.375,,,3.36909304,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.483128722,100.0,,20.42479864,15017273,15.42,17817426747.0,,,3.997359784,,,48.82165,11.52,2.774230003,4249384615.3846154,0.7498099490000001,616000000.0
,,3.83882206,100.0,,2.792618398,9245383,15.42,57193315258.375,,,3.425858529,,,47.555698750000005,5.066296296296297,1.7685288161800004,4249384615.3846154,0.7498099490000001,719444444.4444444
,,1.313985915,100.0,,24.04263787,17321968,15.42,45854254614.0,,,3.804991048,,,47.555698750000005,5.16,0.481959999,4756000000.0,0.7498099490000001,719444444.4444444
,,5.900069503,100.0,,12.2444724,12395391,15.42,57193315258.375,,,3.781339632,,,47.555698750000005,5.066296296296297,0.527130008,4249384615.3846154,0.7498099490000001,719444444.4444444
,,2.567892926,100.0,,25.86532758,19775013,15.42,147000000000.0,,,4.655590958,,,47.555698750000005,3.4,0.048269998,6622000000.0,0.7498099490000001,719444444.4444444
,,0.911421756,100.0,,20.76326344,16210024,15.42,21655217140.0,,,3.568308356,,,47.555698750000005,5.76,0.475719988,2449000000.0,0.7498099490000001,719444444.4444444
,,2.019221474,100.0,,26.59905928,20095657,15.42,117000000000.0,,,4.769008485,,,47.555698750000005,3.4,0.071960002,5543000000.0,0.7498099490000001,719444444.4444444
,,2.169469004,100.0,,21.59181314,14761085,15.42,18089804404.0,,,4.050960837,,,47.555698750000005,11.88,2.16553998,4249384615.3846154,0.7498099490000001,561000000.0
,,2.302203037,100.0,,19.96695021,14579251,15.42,27107775820.0,,,4.069794415,,,47.555698750000005,5.066296296296297,1.949110031,4249384615.3846154,0.7498099490000001,585000000.0
,,3.102758625607143,100.0,,35.53532039,21474309,15.42,83415862000.0,,,4.906711048,,,47.555698750000005,3.22,0.191650003,5486000000.0,0.754507244,719444444.4444444
,,3.102758625607143,100.0,,32.44802515,21824008,15.42,89659461045.0,,,4.925631059,,,47.555698750000005,3.02,0.214039996,5377000000.0,0.7498099490000001,719444444.4444444
,,6.554859403,100.0,,11.87486662,11780153,15.42,57193315258.375,,,3.468632091,,,47.555698750000005,5.066296296296297,1.456670046,4249384615.3846154,0.7498099490000001,719444444.4444444
